frame_id,num_bodies_original,timestamp_usec,target_body_id,joint_0_confidence,joint_0_x,joint_0_y,joint_0_z,joint_1_confidence,joint_1_x,joint_1_y,joint_1_z,joint_2_confidence,joint_2_x,joint_2_y,joint_2_z,joint_3_confidence,joint_3_x,joint_3_y,joint_3_z,joint_4_confidence,joint_4_x,joint_4_y,joint_4_z,joint_5_confidence,joint_5_x,joint_5_y,joint_5_z,joint_6_confidence,joint_6_x,joint_6_y,joint_6_z,joint_7_confidence,joint_7_x,joint_7_y,joint_7_z,joint_8_confidence,joint_8_x,joint_8_y,joint_8_z,joint_9_confidence,joint_9_x,joint_9_y,joint_9_z,joint_10_confidence,joint_10_x,joint_10_y,joint_10_z,joint_11_confidence,joint_11_x,joint_11_y,joint_11_z,joint_12_confidence,joint_12_x,joint_12_y,joint_12_z,joint_13_confidence,joint_13_x,joint_13_y,joint_13_z,joint_14_confidence,joint_14_x,joint_14_y,joint_14_z,joint_15_confidence,joint_15_x,joint_15_y,joint_15_z,joint_16_confidence,joint_16_x,joint_16_y,joint_16_z,joint_17_confidence,joint_17_x,joint_17_y,joint_17_z,joint_18_confidence,joint_18_x,joint_18_y,joint_18_z,joint_19_confidence,joint_19_x,joint_19_y,joint_19_z,joint_20_confidence,joint_20_x,joint_20_y,joint_20_z,joint_21_confidence,joint_21_x,joint_21_y,joint_21_z,joint_22_confidence,joint_22_x,joint_22_y,joint_22_z,joint_23_confidence,joint_23_x,joint_23_y,joint_23_z,joint_24_confidence,joint_24_x,joint_24_y,joint_24_z,joint_25_confidence,joint_25_x,joint_25_y,joint_25_z,joint_26_confidence,joint_26_x,joint_26_y,joint_26_z,joint_27_confidence,joint_27_x,joint_27_y,joint_27_z,joint_28_confidence,joint_28_x,joint_28_y,joint_28_z,joint_29_confidence,joint_29_x,joint_29_y,joint_29_z,joint_30_confidence,joint_30_x,joint_30_y,joint_30_z,joint_31_confidence,joint_31_x,joint_31_y,joint_31_z
310,1,10700211,4923,2.0,133.04205322265625,-273.0599670410156,2942.238037109375,2.0,136.3676300048828,-463.0390319824219,2931.815673828125,2.0,139.2381134033203,-614.6011352539062,2918.99267578125,2.0,131.94093322753906,-845.0186157226562,2940.906005859375,2.0,169.04026794433594,-808.2217407226562,2939.1904296875,2.0,319.2367553710937,-798.2359008789062,2914.88232421875,2.0,349.2549743652344,-508.6138305664063,2960.70068359375,2.0,351.9454040527344,-271.6459655761719,2889.6962890625,0.0,334.1690368652344,-173.1160888671875,2912.611328125,0.0,275.0700378417969,-75.8813247680664,2930.950927734375,0.0,273.25653076171875,-141.7023162841797,2895.01123046875,2.0,97.3297882080078,-805.4611206054688,2937.611328125,2.0,-39.26777267456055,-779.1806030273438,2919.523681640625,2.0,-92.62310028076172,-485.342041015625,2951.334716796875,2.0,-115.45618438720705,-244.2333221435547,2887.24755859375,0.0,-99.70462036132812,-136.60836791992188,2907.21630859375,0.0,-59.10099792480469,-49.99920654296875,2967.91455078125,0.0,-57.3835563659668,-118.42222595214844,2888.76171875,2.0,230.17628479003903,-271.6166076660156,2946.92236328125,2.0,209.72657775878903,137.55291748046875,3067.342041015625,2.0,183.61886596679688,518.4761352539062,3211.405517578125,2.0,198.3385009765625,597.2197265625,3028.343017578125,2.0,45.45184326171875,-274.3614807128906,2938.013916015625,2.0,4.008725166320801,142.20175170898438,3019.892822265625,2.0,-22.864490509033203,517.5000610351562,3188.68212890625,2.0,-24.39515495300293,601.0130004882812,3024.90478515625,2.0,129.49392700195312,-931.9004516601562,2934.804443359375,2.0,145.9781494140625,-947.4022827148438,2764.907958984375,2.0,171.62875366210938,-989.417724609375,2798.68798828125,2.0,221.4935760498047,-994.4887084960938,2924.274658203125,2.0,116.63823699951172,-987.0064086914062,2789.72900390625,2.0,45.353126525878906,-1002.2037963867188,2908.968505859375
311,1,10733555,4923,2.0,135.59205627441406,-272.869384765625,2944.463134765625,2.0,140.73284912109375,-462.6875,2932.6640625,2.0,144.84947204589844,-614.081787109375,2918.6337890625,2.0,137.20358276367188,-844.3518676757812,2941.44580078125,2.0,174.37188720703125,-807.6754150390625,2939.097412109375,2.0,324.08135986328125,-795.5653076171875,2913.01611328125,2.0,353.65771484375,-506.3326416015625,2961.126953125,2.0,353.492919921875,-270.412353515625,2886.840087890625,0.0,337.8565979003906,-171.94056701660156,2911.40869140625,0.0,277.93963623046875,-74.60480499267578,2926.029541015625,0.0,276.1474609375,-141.81179809570312,2897.0849609375,2.0,102.66964721679688,-804.71533203125,2938.484619140625,2.0,-34.25300979614258,-779.2965087890625,2921.915283203125,2.0,-90.13904571533205,-486.053955078125,2954.28173828125,2.0,-116.03069305419922,-244.62985229492188,2892.802734375,0.0,-100.35467529296876,-137.22804260253906,2913.87353515625,0.0,-57.48324966430664,-59.97138595581055,2984.740478515625,0.0,-58.46412658691406,-120.7499008178711,2886.236572265625,2.0,232.79383850097656,-270.2584228515625,2944.809326171875,2.0,211.1624755859375,138.0659942626953,3067.552001953125,2.0,185.49758911132807,518.4218139648438,3212.946533203125,2.0,195.51817321777344,595.8432006835938,3029.050048828125,2.0,47.940948486328125,-275.2237854003906,2944.151123046875,2.0,3.819540023803711,141.59434509277344,3022.80419921875,2.0,-22.264305114746094,517.4127807617188,3190.343994140625,2.0,-27.05460357666016,601.4716796875,3026.952392578125,2.0,134.4294891357422,-931.228759765625,2935.68359375,2.0,152.76405334472656,-943.862060546875,2765.775390625,2.0,178.47457885742188,-986.1551513671876,2799.138427734375,2.0,227.11265563964844,-992.7493286132812,2925.104736328125,2.0,123.5675048828125,-984.125732421875,2789.66064453125,2.0,51.25460433959961,-1001.8950805664062,2907.886962890625
312,1,10766877,4923,2.0,138.90676879882812,-275.998291015625,2940.768798828125,2.0,143.61814880371094,-465.4553527832031,2930.87060546875,2.0,147.54086303710938,-616.6882934570312,2919.440185546875,2.0,138.97634887695312,-846.2655639648438,2942.97705078125,2.0,176.16036987304688,-809.7540283203125,2941.34912109375,2.0,325.6429443359375,-795.6671752929688,2917.2822265625,2.0,354.713623046875,-507.05511474609375,2964.877197265625,2.0,355.53955078125,-271.6049499511719,2891.18017578125,0.0,340.8678283691406,-173.31793212890625,2916.000732421875,0.0,281.96746826171875,-75.2097396850586,2926.802490234375,0.0,282.2416381835937,-142.15171813964844,2901.79736328125,2.0,104.67831420898438,-806.684326171875,2939.051025390625,2.0,-30.99984741210937,-778.931884765625,2919.28759765625,2.0,-88.0137710571289,-486.5610961914063,2950.53564453125,2.0,-111.85095977783205,-245.64097595214844,2888.8203125,0.0,-98.98580169677734,-138.26763916015625,2910.47021484375,0.0,-51.76091384887695,-66.58385467529297,2983.9228515625,0.0,-55.086647033691406,-120.30540466308594,2880.434326171875,2.0,235.7725982666016,-273.82159423828125,2945.2119140625,2.0,211.0617218017578,134.75978088378906,3062.662109375,2.0,182.4444274902344,517.32958984375,3198.4970703125,2.0,195.80099487304688,598.5556640625,3017.016845703125,2.0,51.5585823059082,-277.96112060546875,2936.76220703125,2.0,9.566049575805664,134.55706787109375,3031.7314453125,2.0,-21.429447174072266,514.9407958984375,3184.9638671875,2.0,-27.11865234375,599.5389404296875,3022.40283203125,2.0,136.19081115722656,-932.9420776367188,2937.531005859375,2.0,153.7050323486328,-946.3087768554688,2768.028564453125,2.0,179.54733276367188,-988.3155517578124,2801.38232421875,2.0,228.6519470214844,-994.264404296875,2926.8330078125,2.0,124.73347473144533,-986.3889770507812,2792.173828125,2.0,53.16900253295898,-1003.6392211914062,2910.516357421875
313,1,10800222,4923,2.0,141.46981811523438,-276.5617370605469,2942.09716796875,2.0,145.17428588867188,-466.2572021484375,2934.787841796875,2.0,148.57777404785156,-617.4989624023438,2922.3095703125,2.0,141.1634063720703,-847.119873046875,2946.960205078125,2.0,178.1629180908203,-810.3773803710938,2945.463623046875,2.0,328.1822814941406,-797.4713745117188,2923.68408203125,2.0,356.4457092285156,-508.3041076660156,2969.29638671875,2.0,358.4551086425781,-273.8687438964844,2892.04443359375,0.0,347.730712890625,-175.34292602539062,2918.12548828125,0.0,291.6996765136719,-76.18936920166016,2934.061279296875,0.0,283.96295166015625,-145.1795654296875,2907.062744140625,2.0,106.64930725097656,-807.743408203125,2942.53515625,2.0,-28.996139526367188,-779.6023559570312,2922.583740234375,2.0,-86.90467834472656,-486.9211730957031,2950.60302734375,2.0,-111.63375854492188,-246.1688842773437,2888.064697265625,0.0,-99.21639251708984,-138.46446228027344,2908.593994140625,0.0,-41.39472961425781,-74.61857604980469,2981.789794921875,0.0,-53.17219543457031,-119.36246490478516,2877.407470703125,2.0,238.277099609375,-274.9236145019531,2948.6474609375,2.0,214.2444610595703,134.91183471679688,3062.619140625,2.0,185.1519317626953,518.194091796875,3196.9697265625,2.0,197.5475311279297,598.1835327148438,3014.759765625,2.0,54.17444610595703,-278.03887939453125,2936.190673828125,2.0,9.42664623260498,141.045654296875,2995.414306640625,2.0,-17.895801544189453,510.26458740234375,3174.96728515625,2.0,-26.168750762939453,602.4180908203125,3016.570556640625,2.0,138.93577575683594,-933.8829345703124,2941.931640625,2.0,156.05291748046875,-941.332275390625,2771.936767578125,2.0,182.33477783203125,-984.2686157226562,2803.784423828125,2.0,231.88653564453125,-994.1066284179688,2928.88916015625,2.0,127.45172119140624,-982.4600830078124,2794.79248046875,2.0,56.34252548217773,-1004.3067016601562,2912.734619140625
314,1,10833555,4923,2.0,148.86143493652344,-277.84918212890625,2945.006591796875,2.0,152.97171020507812,-467.7980041503906,2935.318359375,2.0,156.6261749267578,-619.3425903320312,2923.0078125,2.0,146.5054168701172,-849.3775024414062,2947.025390625,2.0,183.9937438964844,-812.9786987304688,2945.79443359375,2.0,334.4374694824219,-802.9955444335938,2923.35595703125,2.0,366.36431884765625,-513.3949584960938,2967.451904296875,2.0,372.0773315429688,-276.48565673828125,2896.674560546875,0.0,355.7466125488281,-178.7556915283203,2923.6083984375,0.0,300.8694763183594,-77.97105407714844,2933.9560546875,0.0,295.9314880371094,-147.96754455566406,2901.71435546875,2.0,112.3896255493164,-809.5267333984375,2942.548828125,2.0,-23.272783279418945,-780.9561767578125,2921.45263671875,2.0,-81.68907165527344,-487.9123229980469,2950.80810546875,2.0,-106.04553985595705,-246.2774658203125,2889.604736328125,0.0,-97.93273162841795,-138.22999572753906,2911.58251953125,0.0,-53.35758209228516,-56.66337966918945,2976.287841796875,0.0,-50.9168586730957,-117.09671020507812,2878.515380859375,2.0,245.75265502929688,-276.15728759765625,2952.942138671875,2.0,217.9076690673828,133.385986328125,3070.13818359375,2.0,184.81231689453125,516.5288696289062,3206.33935546875,2.0,198.7452087402344,597.9968872070312,3024.47314453125,2.0,61.4903564453125,-279.37481689453125,2937.850830078125,2.0,14.34205436706543,139.14198303222656,3004.6689453125,2.0,-18.131532669067383,511.9316711425781,3177.695068359375,2.0,-24.456449508666992,602.5836791992188,3017.936279296875,2.0,143.32057189941406,-936.2637939453124,2941.732666015625,2.0,162.95469665527344,-943.652587890625,2771.673095703125,2.0,188.7598419189453,-986.7256469726562,2803.939697265625,2.0,236.552474975586,-996.7211303710938,2929.99462890625,2.0,133.91087341308594,-984.8347778320312,2794.126708984375,2.0,60.911128997802734,-1006.6962280273438,2911.227783203125
315,1,10866888,4923,2.0,152.73867797851562,-277.62664794921875,2945.3974609375,2.0,156.69737243652344,-467.5230102539063,2939.28955078125,2.0,160.3995819091797,-618.8615112304688,2926.484619140625,2.0,151.4760284423828,-848.5347900390625,2951.9970703125,2.0,188.74591064453125,-812.0073852539062,2950.3828125,2.0,339.2569274902344,-804.0955810546875,2928.694091796875,2.0,370.3072814941406,-514.2030639648438,2969.241943359375,2.0,375.9018249511719,-278.6899719238281,2894.817138671875,0.0,359.7300109863281,-181.0677795410156,2921.8173828125,0.0,307.94488525390625,-79.58998107910156,2938.193603515625,0.0,304.01153564453125,-149.14781188964844,2908.799560546875,2.0,117.1907958984375,-808.917724609375,2947.40576171875,2.0,-18.42515182495117,-780.740478515625,2926.483154296875,2.0,-78.1129150390625,-488.0638122558594,2953.55908203125,2.0,-103.8370590209961,-247.2091064453125,2890.956298828125,0.0,-96.6794662475586,-138.620361328125,2909.774169921875,0.0,-52.94676971435547,-47.46109390258789,2960.53564453125,0.0,-49.09078979492188,-115.4478988647461,2879.804931640625,2.0,249.6178131103516,-275.8218688964844,2952.07763671875,2.0,221.20494079589844,133.52313232421875,3068.15576171875,2.0,187.403076171875,515.8045654296875,3205.288818359375,2.0,199.4363250732422,599.4304809570312,3024.505126953125,2.0,65.37848663330078,-279.2540588378906,2939.37353515625,2.0,17.403606414794922,137.69715881347656,3012.2001953125,2.0,-13.766206741333008,514.7589111328125,3174.84326171875,2.0,-24.2882080078125,603.286865234375,3014.34326171875,2.0,148.68553161621094,-935.3741455078124,2947.2822265625,2.0,166.4818572998047,-940.27978515625,2777.1162109375,2.0,193.18063354492188,-983.37841796875,2808.490478515625,2.0,242.46144104003903,-994.3716430664062,2933.731201171875,2.0,138.26377868652344,-982.0867919921876,2799.3212890625,2.0,66.95429992675781,-1006.4102172851562,2916.798583984375
316,1,10900211,4923,2.0,156.6996307373047,-278.3533020019531,2952.2373046875,2.0,161.5786590576172,-467.79827880859375,2940.222900390625,2.0,165.61895751953125,-618.97998046875,2927.0712890625,2.0,157.95208740234375,-848.9353637695312,2948.497314453125,2.0,195.0368194580078,-812.28173828125,2946.79345703125,2.0,345.1805725097656,-804.8057861328125,2923.30859375,2.0,376.3487243652344,-515.741455078125,2967.826171875,2.0,380.8829956054688,-279.6946105957031,2895.691650390625,0.0,367.75335693359375,-182.8071136474609,2926.427978515625,0.0,317.52276611328125,-80.59786987304688,2942.46630859375,0.0,310.1517028808594,-148.26885986328125,2905.4912109375,2.0,123.48175048828124,-809.3923950195312,2945.34716796875,2.0,-12.750640869140623,-782.1536865234375,2928.26708984375,2.0,-73.26490020751953,-490.0248107910156,2956.806884765625,2.0,-103.48167419433594,-248.55674743652344,2899.580810546875,0.0,-98.43537902832033,-140.17239379882812,2919.71240234375,0.0,-57.31063461303711,-44.66923141479492,2964.06689453125,0.0,-50.26608657836914,-114.59890747070312,2888.500732421875,2.0,253.6421356201172,-276.1097106933594,2956.228271484375,2.0,224.92974853515625,133.57325744628906,3069.797607421875,2.0,191.7436981201172,516.72998046875,3203.6591796875,2.0,201.77896118164065,599.3875122070312,3022.4794921875,2.0,69.28231811523438,-280.3764343261719,2948.638427734375,2.0,16.76144790649414,139.94235229492188,2990.4189453125,2.0,-13.762861251831056,506.1886291503906,3175.53662109375,2.0,-27.198467254638672,608.1404418945312,3023.61181640625,2.0,155.34030151367188,-935.6151733398438,2942.2421875,2.0,169.70631408691406,-943.008544921875,2771.9755859375,2.0,197.2798614501953,-985.4321899414062,2803.425048828125,2.0,249.1133270263672,-994.2145385742188,2927.693359375,2.0,142.2244110107422,-984.6044921875,2795.3623046875,2.0,73.51362609863281,-1007.5322265625,2914.528076171875
317,1,10933555,4923,2.0,158.0413055419922,-277.17071533203125,2952.12939453125,2.0,163.86985778808594,-466.47943115234375,2939.932861328125,2.0,168.60543823242188,-617.5952758789062,2927.161865234375,2.0,162.84979248046875,-847.4264526367188,2949.229248046875,2.0,199.6231842041016,-810.5186157226562,2947.130126953125,2.0,349.5429077148437,-804.4735107421875,2922.344482421875,2.0,379.6385498046875,-515.7584228515625,2968.824462890625,2.0,382.616943359375,-279.787841796875,2896.79345703125,0.0,369.6129455566406,-182.6804962158203,2926.70263671875,0.0,319.1606140136719,-80.65655517578125,2942.801025390625,0.0,311.2250671386719,-149.20919799804688,2907.97607421875,2.0,128.0757293701172,-808.17236328125,2946.260009765625,2.0,-8.802413940429688,-783.8212890625,2930.632568359375,2.0,-70.42586517333984,-492.0983581542969,2959.335205078125,2.0,-104.06107330322266,-251.23361206054688,2902.034423828125,0.0,-96.53402709960938,-142.7400360107422,2920.41650390625,0.0,-52.943965911865234,-48.64947509765625,2965.28515625,0.0,-47.8380241394043,-119.0241928100586,2893.939697265625,2.0,254.9650115966797,-274.3572082519531,2954.777587890625,2.0,226.1253204345703,134.0389862060547,3072.067138671875,2.0,192.6535186767578,514.5984497070312,3212.470458984375,2.0,200.892578125,598.4426879882812,3031.859130859375,2.0,70.64092254638672,-279.7077941894531,2949.741455078125,2.0,13.690129280090332,141.40541076660156,2969.893310546875,2.0,-14.88589859008789,500.4309387207031,3168.50537109375,2.0,-28.51324844360352,612.186767578125,3023.77734375,2.0,160.84178161621094,-934.0951538085938,2943.221435546875,2.0,169.92909240722656,-943.9931640625,2772.806640625,2.0,199.1649780273437,-985.4371337890624,2804.001953125,2.0,255.01319885253903,-991.3842163085938,2926.612548828125,2.0,143.90426635742188,-985.6199951171876,2797.69091796875,2.0,79.4188232421875,-1007.7109375,2919.26806640625
318,1,10966866,4923,2.0,160.69381713867188,-276.6498413085937,2952.9833984375,2.0,167.4031524658203,-466.0369262695313,2942.95458984375,2.0,173.03579711914062,-617.1131591796875,2930.26611328125,2.0,168.3301544189453,-846.8975830078125,2952.814453125,2.0,204.9004821777344,-809.7696533203125,2951.251220703125,2.0,355.0948486328125,-802.5053100585938,2928.648193359375,2.0,382.1422424316406,-513.4104614257812,2974.444580078125,2.0,384.494384765625,-277.8484802246094,2901.151611328125,0.0,370.2611083984375,-180.7409210205078,2930.458251953125,0.0,321.64794921875,-78.00055694580078,2947.544189453125,0.0,313.59600830078125,-147.09796142578125,2911.8759765625,2.0,133.37269592285156,-807.8729858398438,2949.150634765625,2.0,-3.726691007614136,-785.7608032226562,2932.31103515625,2.0,-68.97071075439453,-494.7884826660156,2960.2978515625,2.0,-104.3399887084961,-255.3558959960937,2898.341064453125,0.0,-90.27649688720705,-148.3551788330078,2921.055908203125,0.0,-38.45429992675781,-71.6224136352539,2985.78759765625,0.0,-44.84619903564453,-129.24679565429688,2885.0966796875,2.0,257.46112060546875,-273.5283508300781,2958.77392578125,2.0,226.2240600585937,134.77334594726562,3075.61767578125,2.0,190.1501617431641,516.8771362304688,3210.969970703125,2.0,200.28707885742188,598.8754272460938,3029.6318359375,2.0,73.43447875976562,-279.4646301269531,2947.76171875,2.0,13.73804759979248,141.69570922851562,2944.8193359375,2.0,-20.57083320617676,493.7853698730469,3154.5419921875,2.0,-29.972070693969727,613.8070068359375,3016.26416015625,2.0,166.96359252929688,-933.58251953125,2946.994384765625,2.0,175.05178833007812,-943.1677856445312,2776.529296875,2.0,205.13165283203125,-984.1815185546876,2807.478271484375,2.0,261.8853759765625,-989.3858032226562,2929.690673828125,2.0,149.84478759765625,-985.2127075195312,2801.53955078125,2.0,86.53702545166016,-1008.417236328125,2923.510986328125
319,1,11000222,4923,2.0,162.978271484375,-276.1737365722656,2956.620849609375,2.0,168.98475646972656,-465.52728271484375,2947.87548828125,2.0,173.96694946289062,-616.4415893554688,2934.179443359375,2.0,173.4304962158203,-846.0919799804688,2957.073974609375,2.0,209.33514404296875,-808.4071655273438,2954.713134765625,2.0,358.7904052734375,-801.4575805664062,2928.11474609375,2.0,386.2085876464844,-512.9644775390625,2976.228515625,2.0,385.4110412597656,-277.7029724121094,2902.4658203125,0.0,372.456298828125,-180.30702209472656,2931.17529296875,0.0,323.8937072753906,-77.03733825683594,2944.252685546875,0.0,317.5357666015625,-145.39207458496094,2910.30615234375,2.0,137.8033905029297,-807.6644897460938,2954.090576171875,2.0,0.5261451005935669,-786.9168090820312,2937.70751953125,2.0,-67.42170715332031,-496.9348754882813,2967.450927734375,2.0,-104.8862762451172,-258.56866455078125,2903.29248046875,0.0,-93.1538314819336,-149.822021484375,2916.85595703125,0.0,-34.532588958740234,-84.98314666748047,2988.31884765625,0.0,-46.553836822509766,-132.69827270507812,2884.79541015625,2.0,259.82196044921875,-273.2314453125,2959.42919921875,2.0,229.7330780029297,136.24957275390625,3071.35888671875,2.0,194.930892944336,519.3187255859375,3203.500244140625,2.0,202.2486572265625,600.7222900390625,3021.897705078125,2.0,75.65007019042969,-278.8269348144531,2954.088623046875,2.0,13.33259391784668,140.41766357421875,2921.39208984375,2.0,-18.937345504760746,486.1668395996094,3141.230712890625,2.0,-28.44713020324707,615.810302734375,3012.103759765625,2.0,173.34046936035156,-932.7412109375,2951.38818359375,2.0,173.5614776611328,-947.73583984375,2781.23046875,2.0,206.0975952148437,-986.9464721679688,2811.9580078125,2.0,268.66973876953125,-986.7515258789062,2931.312744140625,2.0,150.6707305908203,-989.5006713867188,2808.736083984375,2.0,93.88166046142578,-1010.1729736328124,2934.220458984375
